,order_id,customer_id,product_id,order_date,quantity,payment_id,payment_method,payment_status,payment_date,product_name,category,price,stock,name,gender,age,join_date,city,shipping_id,shipping_company,shipping_status,shipping_start_date,shipping_end_date,total_sales
0,O009020,C0433,P0263,2023-10-20 09:41:43,1,PAY009020,Mobile Payment,Completed,2023-10-20 10:28:43,전자제품 상품_263,화장품,42000,111,홍경숙,Female,48,2025-02-24,안양시 만안구,S009020,우체국택배,Delivered,2023-10-21 10:28:43,2023-10-23 10:28:43,42000
1,O001226,C0160,P0428,2023-10-20 11:14:49,1,PAY001226,Credit Card,Completed,2023-10-20 11:20:49,전자제품 상품_428,스포츠용품,44000,24,허수빈,Female,31,2025-07-21,청양군,S001226,대한통운,Shipped,2023-10-20 20:20:49,,44000
2,O009148,C0818,P0158,2023-10-20 13:26:26,5,PAY009148,Bank Transfer,Completed,2023-10-20 13:38:26,도서 상품_158,스포츠용품,33900,18,이영길,Male,60,2024-03-08,고양시 일산동구,S009148,롯데택배,Delivered,2023-10-21 13:38:26,2023-10-26 13:38:26,169500
3,O001502,C1581,P0141,2023-10-20 13:55:14,1,PAY001502,Bank Transfer,Completed,2023-10-20 14:53:14,식품 상품_141,스포츠용품,17900,67,김상호,Male,44,2024-12-04,보령시,S001502,우체국택배,Shipped,2023-10-21 13:53:14,,17900
4,O003573,C0882,P0285,2023-10-20 14:12:47,2,PAY003573,Mobile Payment,Completed,2023-10-20 14:26:47,전자제품 상품_285,식품,76900,102,서상철,Female,69,2025-01-24,평택시,S003573,대한통운,Delivered,2023-10-21 10:26:47,2023-10-26 10:26:47,153800
5,O000910,C0946,P0451,2023-10-20 14:46:30,1,PAY000910,Mobile Payment,Completed,2023-10-20 14:57:30,도서 상품_451,식품,46300,165,성민지,Male,36,2025-04-20,아산시,S000910,우체국택배,Delivered,2023-10-21 07:57:30,2023-10-22 07:57:30,46300
6,O005869,C0514,P0105,2023-10-20 15:23:58,3,PAY005869,Bank Transfer,Completed,2023-10-20 15:58:58,화장품 상품_105,도서,70000,153,문서준,Female,34,2025-05-19,아산시,S005869,한진택배,Delivered,2023-10-21 01:58:58,2023-10-24 01:58:58,210000
7,O006563,C1706,P0218,2023-10-20 16:36:34,3,PAY006563,Mobile Payment,Completed,2023-10-20 17:33:34,전자제품 상품_218,전자제품,98400,156,김건우,Female,19,2024-10-29,청양군,S006563,대한통운,Preparing,2023-10-21 13:33:34,,295200
8,O006489,C1111,P0135,2023-10-20 17:22:05,3,PAY006489,Bank Transfer,Completed,2023-10-20 17:46:05,식품 상품_135,전자제품,5900,143,황지영,Female,32,2023-04-17,부천시 소사구,S006489,대한통운,Shipped,2023-10-20 20:46:05,,17700
9,O007949,C1580,P0318,2023-10-20 18:23:41,1,PAY007949,Credit Card,Completed,2023-10-20 19:04:41,의류 상품_318,의류,71500,27,김정순,Male,69,2024-04-19,고성군,S007949,대한통운,Delivered,2023-10-21 16:04:41,2023-10-22 16:04:41,71500
10,O000211,C1986,P0364,2023-10-20 18:50:34,3,PAY000211,Credit Card,Completed,2023-10-20 18:59:34,의류 상품_364,의류,78300,37,엄영길,Male,67,2024-10-25,영월군,S000211,우체국택배,Delivered,2023-10-21 07:59:34,2023-10-22 07:59:34,234900
11,O009255,C0812,P0021,2023-10-20 19:36:14,5,PAY009255,Credit Card,Completed,2023-10-20 19:58:14,가구 상품_21,의류,90400,84,홍은정,Male,38,2025-04-24,원주시,S009255,롯데택배,Preparing,2023-10-21 18:58:14,,452000
12,O002746,C0267,P0316,2023-10-20 20:33:03,1,PAY002746,Credit Card,Completed,2023-10-20 21:02:03,전자제품 상품_316,화장품,42200,135,이성현,Male,23,2024-03-14,아산시,S002746,대한통운,Delivered,2023-10-21 01:02:03,2023-10-23 01:02:03,42200
13,O007224,C0132,P0338,2023-10-20 21:13:49,4,PAY007224,Credit Card,Completed,2023-10-20 21:16:49,가구 상품_338,전자제품,64600,50,지지영,Female,34,2024-03-06,태백시,S007224,롯데택배,Shipped,2023-10-20 22:16:49,,258400
14,O005158,C0554,P0048,2023-10-20 21:44:58,2,PAY005158,Bank Transfer,Failed,,식품 상품_48,화장품,38700,44,이영철,Male,60,2024-05-07,당진시,,,,,,77400
15,O004808,C1310,P0324,2023-10-21 01:43:16,4,PAY004808,Mobile Payment,Completed,2023-10-21 02:32:16,전자제품 상품_324,전자제품,70800,126,서춘자,Female,68,2023-05-08,괴산군,S004808,대한통운,Preparing,2023-10-21 08:32:16,,283200
16,O009899,C1216,P0386,2023-10-21 04:18:20,5,PAY009899,Mobile Payment,Completed,2023-10-21 04:52:20,도서 상품_386,가구,94600,149,이명숙,Male,53,2023-11-22,횡성군,S009899,한진택배,Cancelled,2023-10-21 19:52:20,,473000
17,O006864,C1130,P0323,2023-10-21 06:11:52,4,PAY006864,Bank Transfer,Completed,2023-10-21 06:37:52,화장품 상품_323,가구,78500,63,이현숙,Female,26,2025-01-24,음성군,S006864,롯데택배,Delivered,2023-10-21 18:37:52,2023-10-25 18:37:52,314000
18,O002962,C0289,P0016,2023-10-21 08:05:49,5,PAY002962,Bank Transfer,Completed,2023-10-21 09:00:49,가구 상품_16,식품,73300,152,최준서,Female,42,2025-06-18,부천시 소사구,S002962,한진택배,Shipped,2023-10-22 03:00:49,,366500
19,O006110,C1230,P0434,2023-10-21 09:49:14,1,PAY006110,Credit Card,Completed,2023-10-21 09:52:14,가구 상품_434,화장품,58200,66,김준영,Female,42,2023-05-25,시흥시,S006110,우체국택배,Delivered,2023-10-22 03:52:14,2023-10-25 03:52:14,58200
20,O009910,C0740,P0037,2023-10-21 10:01:49,1,PAY009910,Mobile Payment,Completed,2023-10-21 10:10:49,스포츠용품 상품_37,의류,72500,162,박영철,Male,42,2024-10-19,고성군,S009910,대한통운,Shipped,2023-10-22 04:10:49,,72500
21,O000782,C1036,P0462,2023-10-21 12:29:35,2,PAY000782,Mobile Payment,Completed,2023-10-21 12:50:35,도서 상품_462,화장품,36200,9,이영철,Male,59,2023-03-15,화성시,S000782,롯데택배,Delivered,2023-10-22 00:50:35,2023-10-25 00:50:35,72400
22,O009310,C0993,P0313,2023-10-21 17:50:40,2,PAY009310,Credit Card,Completed,2023-10-21 18:32:40,도서 상품_313,스포츠용품,22600,88,박지현,Female,50,2023-11-25,여주시,S009310,한진택배,Delivered,2023-10-22 08:32:40,2023-10-25 08:32:40,45200
23,O001978,C1715,P0447,2023-10-21 18:10:47,3,PAY001978,Bank Transfer,Completed,2023-10-21 18:11:47,도서 상품_447,스포츠용품,76800,150,최영일,Male,16,2023-12-11,인제군,S001978,한진택배,Delivered,2023-10-22 10:11:47,2023-10-25 10:11:47,230400
24,O003712,C1084,P0330,2023-10-21 21:58:58,5,PAY003712,Bank Transfer,Completed,2023-10-21 22:17:58,스포츠용품 상품_330,화장품,13200,75,이하윤,Male,15,2025-09-27,용인시,S003712,대한통운,Shipped,2023-10-22 02:17:58,,66000
25,O008725,C1614,P0481,2023-10-21 22:56:54,4,PAY008725,Mobile Payment,Completed,2023-10-21 23:22:54,식품 상품_481,의류,57700,192,이수민,Male,55,2025-10-05,계룡시,S008725,롯데택배,Preparing,2023-10-22 14:22:54,,230800
